STATION,NAME,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",8/31/07,0,0,0,,86,70
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",9/1/07,0,0,0,,83,60
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",9/2/07,0,0,0,,81,57
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",9/3/07,0,0,0,,87,60
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",9/4/07,0,0,0,,91,65
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",9/5/07,0,0,0,,88,61
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",9/6/07,0,0,0,,88,69
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",9/7/07,0,0,0,,91,68
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",9/8/07,0,0,0,,91,68
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",9/9/07,0,0,0,,88,63
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",9/10/07,0.14,0,0,,90,73
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",9/11/07,0.09,0,0,,78,67
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",9/12/07,0,0,0,,78,56
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",9/13/07,0,0,0,,80,52
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",9/14/07,0.1,0,0,,78,67
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",9/15/07,0.02,0,0,,72,53
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",9/16/07,0,0,0,,69,44
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",9/17/07,0,0,0,,71,45
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",9/18/07,0,0,0,,72,48
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",9/19/07,0,0,0,,77,50
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",9/20/07,0,0,0,,74,53
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",9/21/07,0,0,0,,85,57
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",9/22/07,0,0,0,,88,69
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",9/23/07,0,0,0,,86,59
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",9/24/07,0,0,0,,84,51
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",9/25/07,0,0,0,,90,53
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",9/26/07,0,0,0,,93,62
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",9/27/07,0,0,0,,87,65
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",9/28/07,0,0,0,,83,58
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",9/29/07,0,0,0,,78,53
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",9/30/07,0,0,0,,78,48
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",10/1/07,0,0,0,,76,50
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",10/2/07,0,0,0,,79,54
